IP地址,端口,TLS,数据中心,国家,城市,网络延迟(毫秒),下载速度(MB/s)
218.188.151.102,31564,AS,HK,HK,N/A,249,0.52
8.218.245.116,41528,AS,HK,HK,Hong Kong,177,0.51
45.38.42.202,2053,AS,HK,HK,Hong Kong,307,0.5
8.218.36.133,9010,AS,HK,HK,Hong Kong,415,0.5
45.39.198.43,8080,AS,HK,HK,Hong Kong,37,0.49
38.207.174.62,443,AS,HK,HK,N/A,140,0.49
47.242.171.138,37021,AS,HK,HK,Hong Kong,209,0.47
193.233.193.12,2053,AS,HK,HK,Hong Kong,320,0.46
138.2.12.103,14453,AS,JP,JP,Inzai,262,0.44
138.2.10.217,27446,AS,JP,JP,Inzai,293,0.44
193.246.161.65,54310,AS,JP,JP,Tokyo,262,0.42
141.147.161.249,51037,AS,JP,JP,Inzai,230,0.37
147.45.49.80,2053,AS,JP,JP,Tokyo,67,0.36
212.52.0.61,1846,AS,JP,JP,Tokyo,337,0.35
160.16.56.195,443,AS,JP,JP,Tokyo,32,0.35
8.209.220.50,21273,AS,JP,JP,Tokyo,37,0.33
5.180.76.44,443,AS,JP,JP,Tokyo,257,0.32
38.180.28.163,8443,AS,JP,JP,Tokyo,628,0.3
158.101.80.84,443,AS,JP,JP,Inzai,291,0.28
140.83.60.81,18443,AS,JP,JP,Osaka,192,0.23
108.160.139.154,8443,AS,JP,JP,N/A,240,0.19
158.101.146.3,54516,AS,JP,JP,Inzai,108,0.17
8.221.143.218,587,AS,JP,JP,Tokyo,223,0.16
149.28.21.106,443,AS,JP,JP,N/A,95,0.14
140.83.56.110,56417,AS,JP,JP,Osaka,88,0.14
91.194.160.45,2053,AS,JP,JP,Tokyo,143,0.13
140.83.63.113,443,AS,JP,JP,Osaka,106,0.09
13.230.34.30,443,AS,JP,JP,Tokyo,339,0.08
139.162.102.152,7002,AS,JP,JP,Tokyo,35,1.9
141.147.147.180,443,AS,JP,JP,Osaka,43,1.1
45.77.25.6,27854,AS,JP,JP,Heiwajima,69,1.05
